,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,1.788700432434082,1.6470484375,0.33016,0.4021,1.0,461882.0,0.9999999709566595,68862600.0,31.098365783691406,42.087493896484375,0.1,128
1,1,1.3445284561157227,1.137662890625,0.50992,0.6037,1.0,461882.0,0.9999999709566595,68862600.0,27.42318868637085,69.5682864189148,0.1,128
2,2,1.0915996856689454,1.0093025390625,0.61046,0.654,1.0,461882.0,0.9999999709566595,68862600.0,28.01953101158142,97.61766743659973,0.1,128
3,3,0.9657593258666992,0.9797064453125,0.65942,0.664,1.0,461882.0,0.9999999709566595,68862600.0,27.711505651474,125.3588125705719,0.1,128
4,4,0.8971691386413574,0.901023828125,0.6842,0.7005,1.0,461882.0,0.9999999709566595,68862600.0,27.982169151306152,153.37155532836914,0.1,128
5,5,0.8463212705993652,0.86055556640625,0.7039,0.7114,1.0,461882.0,0.9999999709566595,68862600.0,27.770193576812744,181.17215251922607,0.1,128
6,6,0.8113825473022461,0.84642587890625,0.71818,0.7253,1.0,461882.0,0.9999999709566595,68862600.0,27.8614182472229,209.06704759597778,0.1,128
7,7,0.7847548645019531,0.82284521484375,0.72776,0.7215,1.0,461882.0,0.9999999709566595,68862600.0,28.02645492553711,237.13049721717834,0.1,128
8,8,0.768068060913086,0.7699640625,0.73424,0.7415,1.0,461882.0,0.9999999709566595,68862600.0,28.022868156433105,265.1852025985718,0.1,128
9,9,0.7549950448608398,0.7796482421875,0.7374,0.7373,1.0,461882.0,0.9999999709566595,68862600.0,27.839151859283447,293.0553307533264,0.1,128
10,10,0.7327370262145996,0.6916677734375,0.7471,0.7692,1.0,461882.0,0.9999999709566595,68862600.0,27.899763822555542,320.99054288864136,0.1,128
11,11,0.7193267551422119,0.85194990234375,0.7491,0.7207,1.0,461882.0,0.9999999709566595,68862600.0,27.536518096923828,348.60168862342834,0.1,128
12,12,0.7073595455932618,0.692509423828125,0.7559,0.7731,1.0,461882.0,0.9999999709566595,68862600.0,27.67794156074524,376.3125388622284,0.1,128
13,13,0.6993885613250732,0.683881298828125,0.75838,0.7767,1.0,461882.0,0.9999999709566595,68862600.0,28.029008388519287,404.3736217021942,0.1,128
14,14,0.69083903465271,0.763143798828125,0.75968,0.7523,1.0,461882.0,0.9999999709566595,68862600.0,27.89196467399597,432.29773235321045,0.1,128
15,15,0.6789232102966308,0.773877734375,0.76438,0.7515,1.0,461882.0,0.9999999709566595,68862600.0,27.979596376419067,460.3135542869568,0.1,128
16,16,0.6720152200317383,0.7492279296875,0.76732,0.7543,1.0,461882.0,0.9999999709566595,68862600.0,27.55064845085144,487.89724683761597,0.1,128
17,17,0.6632678102111816,0.65607255859375,0.76988,0.7796,1.0,461882.0,0.9999999709566595,68862600.0,27.792863607406616,515.7238471508026,0.1,128
18,18,0.6592708856201172,0.692233837890625,0.773,0.7656,1.0,461882.0,0.9999999709566595,68862600.0,27.840006828308105,543.5967173576355,0.1,128
19,19,0.6578013892364502,0.72617958984375,0.77278,0.7639,1.0,461882.0,0.9999999709566595,68862600.0,27.901264905929565,571.5322797298431,0.1,128
20,20,0.6462692407989502,0.742617919921875,0.775,0.7556,1.0,461882.0,0.9999999709566595,68862600.0,27.515163898468018,599.0830290317535,0.1,128
21,21,0.6418763245391845,0.63884306640625,0.77882,0.7881,1.0,461882.0,0.9999999709566595,68862600.0,27.836628198623657,626.9845657348633,0.1,128
22,22,0.6367702381896972,0.783583837890625,0.77968,0.7418,1.0,461882.0,0.9999999709566595,68862600.0,27.729195594787598,654.747323513031,0.1,128
23,23,0.6323685723114014,0.63839912109375,0.7805,0.7821,1.0,461882.0,0.9999999709566595,68862600.0,27.776880979537964,682.5585660934448,0.1,128
24,24,0.626738825302124,0.620051025390625,0.78118,0.7861,1.0,461882.0,0.9999999709566595,68862600.0,27.78233289718628,710.3751711845398,0.1,128
25,25,0.6288133330535889,0.66080810546875,0.78386,0.782,1.0,461882.0,0.9999999709566595,68862600.0,28.004279851913452,738.4136834144592,0.1,128
26,26,0.6297387075042724,0.645905712890625,0.78082,0.7835,1.0,461882.0,0.9999999709566595,68862600.0,27.599140882492065,766.0476143360138,0.1,128
27,27,0.6218019509887696,0.665707470703125,0.78526,0.77,1.0,461882.0,0.9999999709566595,68862600.0,27.718994617462158,793.8016097545624,0.1,128
