,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity conv1,sparsity conv2,sparsity mlp1,sparsity mlp2,edge sparsity,epoch duration,run duration,lr,batch_size
0,0,0.6634713719248772,0.087698974609375,0.93575,0.9765999913215637,1.0,0.9799999594688416,0.981249988079071,0.984000027179718,0.9823450446128845,10.56207537651062,12.63213062286377,0.001,128
1,1,0.07103074219425519,0.09574677734375,0.9795,0.9784999489784241,1.0,0.9799999594688416,0.98499995470047,0.9780000448226929,0.9823450446128845,8.953551530838013,21.599379062652588,0.001,128
2,2,0.06335477169398218,0.15917327880859375,0.9825166666666667,0.9717999696731567,1.0,0.9799999594688416,0.9574999809265137,0.968000054359436,0.9621683955192566,8.987635850906372,30.59924864768982,0.001,128
3,3,0.07213174174359689,0.09959273071289063,0.9820333333333333,0.9824999570846558,0.949999988079071,1.0,0.92249995470047,0.9200000166893005,0.9237526655197144,8.967766284942627,39.579405069351196,0.001,128
4,4,0.07994511717362329,0.135996923828125,0.9809666666666667,0.979699969291687,1.0,0.9799999594688416,0.856249988079071,0.8700000643730164,0.865021288394928,9.096049547195435,48.68784785270691,0.001,128
5,5,0.09398951904124891,0.12658760986328124,0.97865,0.9835999608039856,1.0,0.9799999594688416,0.76624995470047,0.796000063419342,0.7835671901702881,8.884891748428345,57.58524417877197,0.001,128
6,6,0.08658450632439926,0.09773071899414063,0.9802333333333333,0.9853000044822693,1.0,0.9799999594688416,0.6187499761581421,0.690000057220459,0.6557814478874207,9.104139804840088,66.70212888717651,0.001,128
7,7,0.08039550105308493,0.1214968017578125,0.9808166666666667,0.9866999983787537,1.0,0.9799999594688416,0.48374998569488525,0.5260000228881836,0.5137972831726074,9.220702886581421,75.93592882156372,0.001,128
8,8,0.07440271256344082,0.09242581787109375,0.9809666666666667,0.9875999689102173,1.0,0.9599999785423279,0.3787499964237213,0.4700000286102295,0.4296339154243469,9.124186992645264,85.0737509727478,0.001,128
9,9,0.07607666281163693,0.09073651733398437,0.9795,0.9894999861717224,1.0,0.9399999976158142,0.3100000023841858,0.38200002908706665,0.35518530011177063,8.791954278945923,93.8788480758667,0.001,128
10,10,0.06497615926209838,0.08470308227539063,0.9823,0.988599956035614,1.0,0.8399999737739563,0.2537499964237213,0.32200002670288086,0.296801894903183,8.885195016860962,102.77769303321838,0.001,128
11,11,0.06967475181855261,0.07580421752929688,0.9809166666666667,0.9896000027656555,1.0,0.8999999761581421,0.19499999284744263,0.2840000092983246,0.24888327717781067,9.189251899719238,111.98028635978699,0.001,128
12,12,0.06749198685561618,0.07751865234375,0.9810166666666666,0.9896999597549438,1.0,0.9199999570846558,0.19374999403953552,0.23000000417232513,0.22842669486999512,9.325938701629639,121.31997323036194,0.001,128
13,13,0.06832217820063233,0.09416356201171874,0.98115,0.9878999590873718,1.0,0.7599999904632568,0.1525000035762787,0.1940000057220459,0.18657593429088593,9.280519485473633,130.61421012878418,0.001,128
14,14,0.0719727812487632,0.09871295166015626,0.9804,0.9889999628067017,1.0,0.85999995470047,0.13249999284744263,0.1720000058412552,0.16873624920845032,8.739276647567749,139.36729454994202,0.001,128
15,15,0.07201979275109867,0.1121889404296875,0.9805666666666667,0.9896999597549438,1.0,0.7799999713897705,0.0949999988079071,0.1380000114440918,0.13174423575401306,9.245500802993774,148.62668991088867,0.001,128
16,16,0.07144379065434138,0.08731713256835938,0.9802,0.9888999462127686,1.0,0.8199999928474426,0.0912499949336052,0.12800000607967377,0.126700758934021,9.214087724685669,157.85520958900452,0.001,128
