,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,2.3520099609375,2.2573609375,0.1829,0.24849998950958252,1.0,461882.0,1.0,68862602.0,11.18213176727295,13.325110673904419,0.1,1024
1,1,1.7368190307617188,1.562645703125,0.35016,0.43549999594688416,1.0,461882.0,1.0,68862602.0,8.929826498031616,22.288156509399414,0.1,1024
2,2,1.5016985717773437,1.3714798828125,0.4484,0.4991999864578247,1.0,461882.0,1.0,68862602.0,8.828078985214233,31.12781310081482,0.1,1024
3,3,1.3504701904296874,1.22307265625,0.5069,0.5587999820709229,1.0,461882.0,1.0,68862602.0,8.904858350753784,40.04431915283203,0.1,1024
4,4,1.2240823754882812,1.11991572265625,0.55798,0.6026999950408936,1.0,461882.0,1.0,68862602.0,8.886240243911743,48.94226813316345,0.1,1024
5,5,1.1213001220703125,1.0551623046875,0.59572,0.6277999877929688,1.0,461882.0,1.0,68862602.0,9.078473091125488,58.03268051147461,0.1,1024
6,6,1.0212165222167968,1.08435,0.63468,0.6265999674797058,1.0,461882.0,1.0,68862602.0,8.852693319320679,66.89743399620056,0.1,1024
7,7,0.9412239855957031,0.8955279296875,0.664,0.689799964427948,1.0,461882.0,1.0,68862602.0,8.92790937423706,75.83751797676086,0.1,1024
8,8,0.8668103295898437,0.7889943359375,0.69128,0.7270999550819397,1.0,461882.0,1.0,68862602.0,8.866191148757935,84.71610713005066,0.1,1024
9,9,0.8088858508300781,0.772785009765625,0.71436,0.7312999963760376,1.0,461882.0,1.0,68862602.0,8.995189905166626,93.72376728057861,0.1,1024
10,10,0.7636398461914062,0.737057861328125,0.73128,0.7427999973297119,1.0,461882.0,1.0,68862602.0,8.866058826446533,102.60254216194153,0.1,1024
11,11,0.7238194812011719,0.765294775390625,0.74604,0.7494999766349792,1.0,461882.0,1.0,68862602.0,8.811639785766602,111.42706060409546,0.1,1024
12,12,0.6953888916015625,0.68141669921875,0.7561,0.7628999948501587,1.0,461882.0,1.0,68862602.0,8.864152193069458,120.30428051948547,0.1,1024
